start_station_name,date,avgtemp,value
Washington Square E,2022-07-10,23.4,1
Suydam St & Broadway,2022-07-21,29.8,1
Roosevelt Island Tramway,2022-07-29,28.2,1
E 88 St & 1 Ave,2022-07-13,28.9,1
St. Nicholas Ave & W 126 St,2022-07-02,28.7,1
Montague St & Clinton St,2022-07-22,30.9,1
Cumberland St & Lafayette Ave,2022-07-08,23.5,1
Park Ave & St Edwards St,2022-07-10,23.4,1
Southpoint Park,2022-07-16,24.3,1
Roosevelt Island Tramway,2022-07-10,23.4,1
W 110 St & Amsterdam Ave,2022-07-09,24.7,1
Scholes St & Manhattan Ave,2022-07-16,24.3,1
Scholes St & Manhattan Ave,2022-07-17,25.7,1
Carlton Ave & Flushing Ave,2022-07-27,25.5,1
Fulton St & Broadway,2022-07-18,26.2,1
1 Ave & E 18 St,2022-07-12,25.8,1
10 Ave & W 204 St,2022-07-04,25.6,1
Lexington Ave & E 36 St,2022-07-27,25.5,1
4 Ave & 9 St,2022-07-22,30.9,1
W 92 St & Broadway,2022-07-16,24.3,1
1 Ave & E 68 St,2022-07-22,30.9,1
Engert Ave & McGuinness Blvd,2022-07-23,30.3,1
Harrison Pl & Porter Ave,2022-07-06,26.0,1
Pearl St & Hanover Square,2022-07-09,24.7,1
35 Ave & 37 St,2022-07-06,26.0,1
1 Ave & E 94 St,2022-07-07,24.2,1
W 22 St & 8 Ave,2022-07-05,25.9,1
5 Ave & E 72 St,2022-07-06,26.0,1
5 St & 6 Ave,2022-07-04,25.6,1
Soissons Landing,2022-07-04,25.6,1
Soissons Landing,2022-07-09,24.7,1
Franklin Ave & St Marks Ave,2022-07-29,28.2,1
Carroll St & 6 Ave,2022-07-17,25.7,1
Yankee Ferry Terminal,2022-07-08,23.5,1
Picnic Point,2022-07-04,25.6,1
Union Ave & Wallabout St,2022-07-05,25.9,1
Alexander Ave & E 134 St,2022-07-13,28.9,1
46 Ave & 5 St,2022-07-17,25.7,1
E 85 St & 3 Ave,2022-07-09,24.7,1
50 St & 30 Ave,2022-07-20,31.3,1
MacDougal St & Washington Sq,2022-07-06,26.0,1
28 Ave & 44 St,2022-07-18,26.2,1
Melrose Ave & E 150 St,2022-07-26,25.9,1
West End Ave & W 60 St,2022-07-19,28.2,1
Clinton St & Union St,2022-07-05,25.9,1
Marcus Garvey Blvd & Macon St,2022-07-31,26.3,1
E 48 St & 3 Ave,2022-07-10,23.4,1
1 Ave & E 39 St,2022-07-14,26.6,1
E 7 St & Avenue A,2022-07-19,28.2,1
Soissons Landing,2022-07-16,24.3,1
W 44 St & 5 Ave,2022-07-28,26.7,1
Irving Ave & Harman St,2022-07-05,25.9,1
E 123 St & Lexington Ave,2022-07-04,25.6,1
Edgecombe Ave & W 141 St,2022-07-21,29.8,1
S 3 St & Bedford Ave,2022-07-20,31.3,1
Bushwick Ave & McKibbin St,2022-07-07,24.2,1
E 95 St & 3 Ave,2022-07-22,30.9,1
South St & Whitehall St,2022-07-24,31.1,1
Madison Ave & E 26 St,2022-07-15,26.1,1
Morton St & Washington St,2022-07-19,28.2,1
1 Ave & E 68 St,2022-07-10,23.4,1
Grand Army Plaza & Central Park S,2022-07-02,28.7,1
Myrtle Ave & Lewis Ave,2022-07-10,23.4,1
Columbia Heights & Cranberry St,2022-07-30,26.7,1
Broadway & W 36 St,2022-07-30,26.7,1
Central Park West & W 76 St,2022-07-09,24.7,1
11 Ave & W 59 St,2022-07-23,30.3,1
DeKalb Ave & Vanderbilt Ave,2022-07-31,26.3,1
Frederick Douglass Blvd & W 112 St,2022-07-27,25.5,1
9 Ave & W 22 St,2022-07-11,24.0,1
14 St & 5 Ave,2022-07-08,23.5,1
W 22 St & 8 Ave,2022-07-07,24.2,1
Bulova Ave & Brooklyn Queens Expressway W,2022-07-19,28.2,1
Grand Army Plaza & Central Park S,2022-07-28,26.7,1
1 Ave & E 18 St,2022-07-28,26.7,1
W 87 St & West End Ave,2022-07-30,26.7,1
E 85 St & 3 Ave,2022-07-30,26.7,1
W 44 St & 11 Ave,2022-07-17,25.7,1
Barrow St & Hudson St,2022-07-09,24.7,1
Lexington Ave & E 36 St,2022-07-24,31.1,1
Lexington Ave & E 36 St,2022-07-01,28.1,1
E 48 St & 5 Ave,2022-07-20,31.3,1
Broadway & W 61 St,2022-07-25,29.8,1
4 Ave & E 12 St,2022-07-19,28.2,1
W 31 St & 7 Ave,2022-07-28,26.7,1
W 52 St & 6 Ave,2022-07-14,26.6,1
W 16 St & The High Line,2022-07-26,25.9,1
Clinton St & Grand St,2022-07-17,25.7,1
10 Ave & W 14 St,2022-07-01,28.1,1
Broadway & W 25 St,2022-07-09,24.7,1
Cadman Plaza E & Tillary St,2022-07-11,24.0,1
Canal St & Rutgers St,2022-07-08,23.5,1
Amsterdam Ave & W 79 St,2022-07-10,23.4,1
10 Ave & W 14 St,2022-07-02,28.7,1
6 Ave & W 45 St,2022-07-04,25.6,1
Henry St & Degraw St,2022-07-29,28.2,1
5 Ave & E 72 St,2022-07-30,26.7,1
46 Ave & 5 St,2022-07-12,25.8,1
W 44 St & 11 Ave,2022-07-30,26.7,1
W 44 St & 11 Ave,2022-07-14,26.6,1
Central Park West & W 76 St,2022-07-17,25.7,1
Central Park S & 6 Ave,2022-07-03,26.9,1
Grand St & Elizabeth St,2022-07-01,28.1,1
Central Park S & 6 Ave,2022-07-26,25.9,1
8 Ave & W 16 St,2022-07-01,28.1,1
Myrtle Ave & Lewis Ave,2022-07-21,29.8,1
E 58 St & Madison Ave,2022-07-17,25.7,1
Central Park West & W 68 St,2022-07-20,31.3,1
5 Ave & E 72 St,2022-07-21,29.8,1
E 54 St & 1 Ave,2022-07-18,26.2,1
E 44 St & Lexington Ave,2022-07-06,26.0,1
Forsyth St & Canal St,2022-07-07,24.2,1
Orchard St & Grand St,2022-07-26,25.9,1
DeKalb Ave & S Portland Ave,2022-07-15,26.1,1
E 56 St & 3 Ave,2022-07-09,24.7,1
Park Ave & E 124 St,2022-07-02,28.7,1
West End Ave & W 60 St,2022-07-20,31.3,1
W 106 St & Central Park West,2022-07-27,25.5,1
E 115 St & Lexington Ave,2022-07-22,30.9,1
Washington St & Gansevoort St,2022-07-11,24.0,1
Central Park S & 6 Ave,2022-07-02,28.7,1
E 81 St & York Ave,2022-07-06,26.0,1
9 Ave & W 45 St,2022-07-06,26.0,1
E 85 St & 3 Ave,2022-07-30,26.7,1
E 65 St & 2 Ave,2022-07-14,26.6,1
21 St & 43 Ave,2022-07-27,25.5,1
21 Ave & Crescent St,2022-07-24,31.1,1
19 St & 24 Ave,2022-07-04,25.6,1
Central Park W & W 97 St,2022-07-12,25.8,1
Ave A & E 14 St,2022-07-16,24.3,1
E 51 St & 1 Ave,2022-07-24,31.1,1
W 25 St & 6 Ave,2022-07-30,26.7,1
12 Ave & W 40 St,2022-07-30,26.7,1
Madison Ave & E 99 St,2022-07-05,25.9,1
W 56 St & 6 Ave,2022-07-16,24.3,1
Seaman Ave & Isham St,2022-07-28,26.7,1
E 48 St & 5 Ave,2022-07-09,24.7,1
E 41 St & Madison Ave (SW corner),2022-07-27,25.5,1
Bergen St & Vanderbilt Ave,2022-07-15,26.1,1
E 44 St & Lexington Ave,2022-07-21,29.8,1
Lincoln Pl & Classon Ave,2022-07-23,30.3,1
Broadway & W 58 St,2022-07-24,31.1,1
West End Ave & W 107 St,2022-07-25,29.8,1
W 34 St &\tHudson Blvd E,2022-07-28,26.7,1
E 103 St & Lexington Ave,2022-07-08,23.5,1
2 Ave & E 29 St,2022-07-26,25.9,1
E 39 St & Lexington Ave,2022-07-08,23.5,1
Henry St & Atlantic Ave,2022-07-06,26.0,1
Pike St & E Broadway,2022-07-26,25.9,1
E 2 St & 2 Ave,2022-07-03,26.9,1
E 39 St & 2 Ave,2022-07-22,30.9,1
E 103 St & Lexington Ave,2022-07-08,23.5,1
E 23 St & 1 Ave,2022-07-27,25.5,1
MacDougal St & Prince St,2022-07-15,26.1,1
Broadway & W 41 St,2022-07-21,29.8,1
W 54 St & 11 Ave,2022-07-04,25.6,1
W 31 St & 7 Ave,2022-07-07,24.2,1
E 11 St & 3 Ave,2022-07-19,28.2,1
W 53 St & 10 Ave,2022-07-27,25.5,1
Pleasant Ave & E 120 St,2022-07-24,31.1,1
Grand Concourse & E 196 St,2022-07-02,28.7,1
West End Ave & W 60 St,2022-07-20,31.3,1
West End Ave & W 60 St,2022-07-23,30.3,1
Lexington Ave & E 24 St,2022-07-07,24.2,1
E 118 St & 1 Ave,2022-07-16,24.3,1
West End Ave & W 60 St,2022-07-11,24.0,1
6 St & 7 Ave,2022-07-15,26.1,1
9 Ave & W 45 St,2022-07-12,25.8,1
Union St & Nevins St,2022-07-21,29.8,1
South St & Pike St,2022-07-03,26.9,1
Lexington Ave & E 24 St,2022-07-14,26.6,1
W 37 St & 5 Ave,2022-07-21,29.8,1
W 37 St & 5 Ave,2022-07-24,31.1,1
Clermont Ave & Lafayette Ave,2022-07-26,25.9,1
Broadway & W 41 St,2022-07-30,26.7,1
Broadway & W 41 St,2022-07-27,25.5,1
Congress St & Hicks St,2022-07-05,25.9,1
44 St & 3 Ave,2022-07-18,26.2,1
Lewis Ave & Kosciuszko St,2022-07-29,28.2,1
Kosciuszko St & Nostrand Ave,2022-07-13,28.9,1
Harman St & Seneca Ave,2022-07-05,25.9,1
Vesey Pl & River Terrace,2022-07-13,28.9,1
2 Ave & E 72 St,2022-07-28,26.7,1
W 46 St & 11 Ave,2022-07-29,28.2,1
Park Ave & E 124 St,2022-07-21,29.8,1
E 56 St & 3 Ave,2022-07-27,25.5,1
3 Ave & 14 St,2022-07-05,25.9,1
St Marks Pl & 2 Ave,2022-07-24,31.1,1
Atlantic Ave & Furman St,2022-07-21,29.8,1
11 Ave & W 59 St,2022-07-16,24.3,1
Henry St & W 9 St,2022-07-25,29.8,1
Lafayette St & E 8 St,2022-07-13,28.9,1
Bank St & Hudson St,2022-07-13,28.9,1
11 Ave & W 59 St,2022-07-16,24.3,1
9 Ave & W 45 St,2022-07-08,23.5,1
Columbus Ave & W 72 St,2022-07-09,24.7,1
E 39 St & Lexington Ave,2022-07-13,28.9,1
E 39 St & 2 Ave,2022-07-07,24.2,1
E 72 St & York Ave,2022-07-01,28.1,1
Henry St & Grand St,2022-07-30,26.7,1
St Marks Pl & 1 Ave,2022-07-18,26.2,1
Metropolitan Ave & Meeker Ave,2022-07-31,26.3,1
Amsterdam Ave & W 66 St,2022-07-29,28.2,1
E 53 St & Madison Ave,2022-07-11,24.0,1
E 53 St & Lexington Ave,2022-07-24,31.1,1
W 20 St & 10 Ave,2022-07-06,26.0,1
Mercer St & Spring St,2022-07-26,25.9,1
W 56 St & 8 Ave,2022-07-15,26.1,1
3 Ave & E 71 St,2022-07-23,30.3,1
W 50 St & 9 Ave,2022-07-29,28.2,1
Watts St & Greenwich St,2022-07-17,25.7,1
W 50 St & 9 Ave,2022-07-04,25.6,1
Gerard Ave & E 164 St,2022-07-27,25.5,1
Park Ave & Marcus Garvey Blvd,2022-07-04,25.6,1
St Marks Pl & 1 Ave,2022-07-06,26.0,1
Van Buren St & Broadway,2022-07-30,26.7,1
Rockaway Ave & Bainbridge St,2022-07-07,24.2,1
E 81 St & 3 Ave,2022-07-12,25.8,1
W 45 St & 8 Ave,2022-07-19,28.2,1
E 16 St & Irving Pl,2022-07-04,25.6,1
E 11 St & 3 Ave,2022-07-12,25.8,1
E 68 St & Madison Ave,2022-07-30,26.7,1
2 Ave & E 55 St,2022-07-21,29.8,1
1 Ave & E 68 St,2022-07-01,28.1,1
W 54 St & 11 Ave,2022-07-15,26.1,1
Classon Ave & St Marks Ave,2022-07-30,26.7,1
Broadway & W 25 St,2022-07-08,23.5,1
Broadway & W 25 St,2022-07-27,25.5,1
Amsterdam Ave & W 136 St,2022-07-13,28.9,1
Greenpoint Ave & Manhattan Ave,2022-07-19,28.2,1
Allen St & Stanton St,2022-07-30,26.7,1
W 13 St & 7 Ave,2022-07-09,24.7,1
South St & Gouverneur Ln,2022-07-19,28.2,1
W 54 St & 11 Ave,2022-07-22,30.9,1
Grant Ave & E 169 St,2022-07-22,30.9,1
5 Ave & E 87 St,2022-07-12,25.8,1
E 47 St & 2 Ave,2022-07-01,28.1,1
E 26 St & 3 Ave,2022-07-27,25.5,1
Grand Army Plaza & Central Park S,2022-07-26,25.9,1
E Fordham Rd & Webster Ave,2022-07-20,31.3,1
W 50 St & 10 Ave,2022-07-26,25.9,1
E 170 St & Sheridan Ave,2022-07-11,24.0,1
Amsterdam Ave & W 73 St,2022-07-28,26.7,1
Kosciuszko St & Tompkins Ave,2022-07-21,29.8,1
Montrose Ave & Bushwick Ave,2022-07-08,23.5,1
Amsterdam Ave & W 73 St,2022-07-05,25.9,1
Little West St & 1 Pl,2022-07-02,28.7,1
Grant Ave & E 169 St,2022-07-25,29.8,1
Soissons Landing,2022-07-23,30.3,1
Yankee Ferry Terminal,2022-07-02,28.7,1
18 St & 27 Ave,2022-07-07,24.2,1
E 51 St & 1 Ave,2022-07-26,25.9,1
Central Park S & 6 Ave,2022-07-22,30.9,1
W 55 St & 6 Ave,2022-07-08,23.5,1
Bedford Ave & Bergen St,2022-07-21,29.8,1
Lenox Ave & W 126 St,2022-07-12,25.8,1
Grant Ave & E 169 St,2022-07-23,30.3,1
Broadway\t& W 48 St,2022-07-22,30.9,1
9 Ave & W 18 St,2022-07-28,26.7,1
Flatbush Ave & Ocean Ave,2022-07-12,25.8,1
W 42 St & 6 Ave,2022-07-07,24.2,1
Riverside Dr & W 72 St,2022-07-14,26.6,1
Sullivan St & Washington Sq,2022-07-30,26.7,1
Berry St & N 8 St,2022-07-20,31.3,1
Kosciuszko St & Tompkins Ave,2022-07-16,24.3,1
Montrose Ave & Bushwick Ave,2022-07-29,28.2,1
Metropolitan Ave & Bedford Ave,2022-07-09,24.7,1
N 6 St & Bedford Ave,2022-07-11,24.0,1
Graham Ave & Conselyea St,2022-07-03,26.9,1
24 St & 5 Ave,2022-07-09,24.7,1
Wythe Ave & Metropolitan Ave,2022-07-28,26.7,1
Clinton Ave & Myrtle Ave,2022-07-22,30.9,1
Morton St & Washington St,2022-07-06,26.0,1
E 20 St & 2 Ave,2022-07-11,24.0,1
43 Ave & 42 St,2022-07-08,23.5,1
Atlantic Ave & Furman St,2022-07-20,31.3,1
Classon Ave & St Marks Ave,2022-07-20,31.3,1
Classon Ave & St Marks Ave,2022-07-21,29.8,1
W 42 St & Dyer Ave,2022-07-17,25.7,1
44 St & 6 Ave,2022-07-15,26.1,1
W 25 St & 6 Ave,2022-07-22,30.9,1
Front St & Washington St,2022-07-24,31.1,1
Tompkins Ave & Hopkins St,2022-07-19,28.2,1
6 Ave & W 34 St,2022-07-06,26.0,1
Jay St & Tech Pl,2022-07-20,31.3,1
Stagg St & Union Ave,2022-07-04,25.6,1
Featherbed Ln & Jerome Ave,2022-07-27,25.5,1
W 56 St & 8 Ave,2022-07-18,26.2,1
Frederick Douglass Blvd & W 115 St,2022-07-01,28.1,1
Kenmare St & Elizabeth St,2022-07-03,26.9,1
W 100 St & Broadway,2022-07-03,26.9,1
Prospect Park West & 8 St,2022-07-23,30.3,1
Willoughby Ave & Walworth St,2022-07-31,26.3,1
W 35 St & 8 Ave,2022-07-07,24.2,1
Featherbed Ln & Nelson Ave,2022-07-25,29.8,1
Broadway & Morris St,2022-07-19,28.2,1
1 Ave & E 6 St,2022-07-31,26.3,1
12 Ave & W 125 St,2022-07-12,25.8,1
E 25 St & 2 Ave,2022-07-30,26.7,1
E 15 St & 3 Ave,2022-07-17,25.7,1
Carroll St & 6 Ave,2022-07-13,28.9,1
Lefferts Pl & Franklin Ave,2022-07-11,24.0,1
2 Ave & E 31 St,2022-07-16,24.3,1
Lafayette St & E 8 St,2022-07-20,31.3,1
Kingsland Ave & Nassau Ave,2022-07-07,24.2,1
E 2 St & 2 Ave,2022-07-22,30.9,1
E 11 St & Avenue B,2022-07-30,26.7,1
7 Ave & Park Pl,2022-07-23,30.3,1
E 12 St & Ave C,2022-07-09,24.7,1
Forsyth St\t& Grand St,2022-07-02,28.7,1
Graham Ave & Conselyea St,2022-07-28,26.7,1
Kingston Ave & Herkimer St,2022-07-28,26.7,1
West Drive & Prospect Park West,2022-07-18,26.2,1
E 114 St & 1 Ave,2022-07-30,26.7,1
MacDougal St & Prince St,2022-07-03,26.9,1
West St & Liberty St,2022-07-07,24.2,1
W 30 St & 8 Ave,2022-07-13,28.9,1
W 34 St &\tHudson Blvd E,2022-07-18,26.2,1
Bushwick Ave & Linden St,2022-07-10,23.4,1
